"","ExrNTC_S49","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45","WP2-046_S46"
"Cervus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chanos",0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cherax",0,374,192,271,202,196,118,164,162,226,290,1120,173,574,1301,208,189,168,146,198,418,237,220,0,381,514,0,854,1960,244,146,212,222,226,237,125,111,0,0,102,139,356,0,407,0
"Chrysolina",0,0,0,0,0,0,0,0,0,114,146,246,0,137,123,0,0,0,0,0,0,0,0,0,104,138,0,199,422,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0
"Ciona",0,154,178,197,252,328,201,207,301,964,1321,683,180,317,189,0,0,0,0,121,562,156,0,0,320,318,0,0,0,0,0,196,292,134,114,0,0,0,0,0,820,1934,1961,0,0
"Clavelina",0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clupea",0,940,695,3495,2581,5360,5769,15515,26302,37118,37991,10758,49771,75859,11033,7905,238,1888,2002,22760,13294,19866,8121,10777,63990,97770,4937,4916,3955,305,249,740,1797,1459,2233,6110,4291,2447,4787,10573,3970,25000,6404,5553,0
"Coelioxys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coelopa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coleophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conops",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coregonus",0,113,0,100,0,0,0,0,0,0,142,230,0,165,0,102,0,0,0,0,124,0,0,0,140,202,0,178,418,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0
"Corythucha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cottoperca",0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crambus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crassostrea",0,0,0,0,0,0,0,0,0,0,0,156,0,113,164,0,0,0,0,0,0,0,0,0,0,0,0,134,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cricetulus",0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptosula",0,0,0,0,0,0,0,0,0,0,0,234,0,114,187,0,0,0,0,0,124,136,0,0,0,138,0,119,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ctenicera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ctenopharyngodon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0
"Culex",0,0,0,0,0,0,0,0,0,0,109,338,0,183,309,0,0,0,0,0,209,0,0,0,128,230,0,159,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyclopterus",0,0,0,0,0,0,0,0,0,136,277,0,105,175,0,129,0,0,0,0,284,128,0,0,108,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,223,0,0
"Cydia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprideis",0,570,552,263,529,323,274,208,115,240,269,375,340,2261,354,0,826,527,318,348,193,253,131,0,221,247,0,741,398,1251,794,241,1174,414,358,183,333,0,1071,1619,385,391,616,253,0
"Cyprinus",0,0,0,0,0,0,0,0,0,0,0,143,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Danio",0,106,101,282,184,147,0,106,0,145,170,633,101,344,770,111,0,0,110,120,205,133,151,0,221,323,0,612,1002,0,0,0,108,111,126,0,106,0,0,0,0,226,0,112,0
"Daphnia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Darwinula",0,0,0,100,0,103,0,0,0,0,0,0,0,0,0,0,0,119,114,0,0,0,0,0,0,0,0,0,196,0,0,0,0,138,146,0,0,0,0,0,108,0,0,0,0
"Denticeps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dermacentor",0,112,0,131,0,0,0,0,0,0,0,229,0,118,261,0,0,0,0,0,0,0,0,0,117,135,0,191,581,105,0,0,0,0,108,0,0,0,0,0,0,117,0,0,0
"Diabrotica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diadumene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaphorina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diarsia",0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dipodomys",0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0
"Dolichovespula",0,0,0,0,0,0,0,0,0,0,0,314,0,142,421,106,0,0,0,0,102,0,0,0,106,169,0,299,499,0,0,0,0,0,110,0,0,0,0,0,0,104,170,0,0
"Dreissena",0,0,0,0,0,0,0,0,0,0,108,374,0,166,325,0,0,0,0,0,261,0,0,0,123,219,0,308,401,0,0,0,0,0,131,0,0,0,0,114,0,257,0,0,0
"Dromiciops",0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drosophila",0,0,0,0,0,0,0,0,0,0,0,126,0,0,143,0,0,0,0,0,114,0,0,0,124,140,0,0,302,0,0,0,0,0,170,0,130,0,0,0,0,125,0,0,0
"Dufourea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecdyonurus",0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ectemnius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eilema",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Electrona",0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erinaceus",0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eriocheir",0,134,0,204,166,123,0,0,134,184,223,821,115,374,1076,176,0,101,0,185,247,212,155,0,253,315,0,682,1049,101,0,101,106,141,156,0,177,0,0,0,0,288,0,0,0
"Eristalinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erithacus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eufriesea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eupithecia",0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,120,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eurytemora",0,0,0,0,0,0,0,0,0,139,0,289,0,208,247,0,0,0,0,0,126,0,0,0,104,179,0,123,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exephanes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flustra",0,0,0,0,0,0,0,0,0,0,0,127,0,134,329,0,0,0,0,0,0,0,0,0,0,0,0,201,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flustrellidra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,141,0,0
"Fragum",0,0,0,0,0,0,0,0,0,0,0,129,0,0,102,0,0,0,0,0,0,0,0,0,0,115,0,155,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frankliniella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fulmarus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0
"Gadus",0,169,0,196,177,197,149,234,264,454,755,2695,895,2539,0,953,0,103,119,377,2165,643,281,0,581,906,0,998,1084,0,0,100,115,126,133,140,175,0,0,220,179,459,371,210,0
"Gallus",0,0,0,0,0,131,0,0,152,104,206,440,0,0,401,368,0,0,0,227,0,493,193,0,0,258,0,339,167,0,0,0,0,0,0,0,320,0,0,144,0,0,0,364,0
"Gari",0,110,0,0,0,129,0,224,267,310,468,1736,280,958,1429,151,0,0,115,488,401,610,555,111,547,1123,0,2092,2886,0,0,0,0,0,0,110,0,0,154,266,193,881,508,0,0
"Gasterosteus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gavia",0,0,0,108,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,177,31610,155,152,267,0,0,0,0,0,261,0,0,0
"Gibbula",0,0,0,0,0,0,0,0,0,0,0,168,0,147,239,0,0,0,0,0,0,0,0,0,157,226,0,462,557,0,0,0,268,191,120,132,0,0,104,0,0,189,0,0,0
"Gigantopelta",0,0,0,0,0,0,0,0,0,0,0,248,0,118,276,0,0,0,0,0,109,0,0,0,0,0,0,161,297,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
"Glyphotaelius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gobio",0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gobius",0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gouania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gracilinanus",0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gymnogyps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0
"Habrosyne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halichoerus",0,0,0,0,0,0,0,126,128,282,257,0,356,319,247,0,0,0,0,336,11561,271,185,0,221,488,0,0,0,0,0,0,0,111,105,0,0,0,0,143,0,158,201,165,0
"Haliotis",0,0,0,177,0,0,0,0,0,0,0,223,0,130,259,0,0,0,0,0,0,0,0,0,0,128,0,202,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harmothoe",0,0,0,164,0,231,118,304,333,558,622,1373,305,605,0,127,0,0,115,454,480,454,256,0,622,833,0,1301,1077,0,0,0,0,0,0,102,0,0,0,0,353,882,642,0,0
"Harpegnathos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helobdella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,117,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Homarus",0,137,100,167,0,101,0,0,126,192,177,593,151,757,732,123,0,0,0,112,180,142,148,0,256,310,0,501,834,0,0,109,103,125,128,0,0,0,0,0,0,169,0,119,0
"Homo",760,0,0,0,0,15903,108,241,1218,104,212,3986,0,0,9495,956,118,0,0,390,0,212,0,0,0,513,0,4721,1460,0,0,177,0,0,142,104,0,0,0,494,331,0,210,172,0
"Hyalella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydra",0,0,0,0,0,0,0,0,0,0,0,113,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydractinia",0,125,0,0,0,108,148,0,0,0,155,135,0,153,216,0,0,795,0,0,134,0,0,0,0,144,0,0,112,232,0,130,213,0,0,103,0,0,0,0,0,0,0,356,0
"Hyperoplus",0,0,0,118,0,127,152,214,286,751,585,623,274,278,0,104,0,0,0,342,167,190,0,0,357,226,0,373,567,0,0,0,0,0,0,114,106,0,0,0,0,0,117,0,0
"Ichneumon",0,0,0,0,0,0,0,0,0,0,0,104,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoperla",0,0,0,0,0,0,0,0,0,0,0,106,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ixodes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labrus",0,0,0,0,0,0,0,0,0,223,133,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0
"Lagenorhynchus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Larimichthys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum",0,0,0,0,0,0,0,0,0,0,0,109,0,180,142,0,0,0,0,0,0,0,0,0,0,0,0,143,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lepidonotus",0,0,0,0,0,0,0,0,0,101,0,183,0,0,125,0,0,0,0,0,0,0,0,0,160,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptonychotes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptopilina",0,0,0,0,0,0,0,0,0,0,0,135,0,0,133,0,0,0,0,0,0,0,0,0,0,117,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limnephilus",0,0,0,0,0,0,0,0,0,0,102,245,0,186,219,0,0,0,0,0,0,0,0,0,116,173,0,196,381,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
"Limnoperna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,156,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0
"Lineus",0,0,0,0,0,111,0,133,205,499,815,794,257,353,332,0,0,0,0,162,632,450,0,0,372,523,0,289,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lochmaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lottia",0,654,0,0,0,0,0,0,0,0,0,107,0,0,115,0,1098,0,0,0,0,0,0,0,0,0,0,123,0,1159,699,113,903,0,0,0,0,0,0,0,0,0,150,0,0
"Lucilia",0,0,0,777,0,0,0,0,0,0,0,106,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luidia",0,0,0,0,0,120,0,102,0,0,111,280,0,129,0,0,0,0,0,104,0,0,0,0,105,133,0,159,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lumbricus",0,205,0,253,0,108,0,0,0,145,163,497,0,285,875,116,0,0,0,102,252,101,118,0,247,414,0,449,1324,100,0,0,104,102,265,0,0,0,0,0,108,213,0,0,0
"Luperina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lytechinus",0,0,0,0,0,0,0,0,0,0,112,280,0,0,210,0,0,0,0,0,113,0,0,0,150,176,0,172,296,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0
"Macrobrachium",0,0,0,0,0,0,0,0,0,0,0,340,0,190,408,0,0,0,0,0,103,0,0,0,112,163,0,315,469,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0
"Malaya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marthasterias",0,0,0,0,0,0,0,0,0,0,0,110,0,0,190,0,0,0,0,0,0,0,0,0,104,192,0,126,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile",0,0,0,0,0,0,0,0,0,0,0,107,0,0,153,0,0,0,0,0,0,0,0,0,0,125,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0
"Megalopta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melanargia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melanostigma",0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,188,324,0,0,0,0,0,0,0,0,0,0,0,0,338,247,0,0
"Meles",0,0,0,0,0,0,0,0,0,0,0,157,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melinaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Membranipora",0,1213,1189,2039,1734,4194,3654,4304,6196,9007,18891,20435,2799,6497,8671,0,223,1119,748,3279,5116,11231,3524,751,5975,4593,1435,3371,3653,153,126,312,670,562,594,1721,802,562,580,468,328,809,449,0,0
"Mercenaria",0,0,0,0,0,107,0,0,0,111,186,466,0,328,443,0,0,0,0,158,293,176,111,0,270,409,0,451,263,0,0,0,0,0,0,104,0,0,0,0,0,394,0,0,0
"Metridium",0,171,100,736,1028,1249,720,965,1517,2017,1740,5007,177,359,0,182,0,330,174,405,493,285,253,0,895,591,0,1200,628,0,0,130,151,270,381,4166,1614,2667,687,0,0,162,213,299,105
"Microtus",0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mimachlamys",0,0,0,0,0,0,0,0,0,0,0,190,0,301,0,0,0,0,0,0,0,120,0,0,293,397,0,332,113,0,0,0,0,0,0,0,0,0,0,0,256,496,469,0,0
"Mimumesa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mirounga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mizuhopecten",0,0,0,0,0,0,0,0,0,0,166,150,0,0,333,0,0,0,0,0,161,0,0,0,0,151,0,162,135,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0
"Modiolus",0,0,0,0,0,0,0,0,0,0,0,0,0,129,337,0,0,0,0,0,0,0,0,0,121,249,0,321,124,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0
"Molgula",0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monodelphis",0,0,0,101,102,0,0,0,0,0,100,0,0,183,0,0,0,0,0,0,121,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0
"Mus",0,168,137,178,183,164,0,103,126,182,206,533,0,392,614,168,104,118,115,126,213,198,124,0,243,364,0,421,627,134,0,112,129,154,147,0,124,0,0,0,112,220,0,128,0
"Musotima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mya",0,0,0,0,0,0,0,0,0,0,252,368,0,136,247,335,0,0,0,0,582,0,0,0,0,139,0,535,740,0,0,0,0,0,0,0,0,0,0,0,117,476,0,261,501
"Myopa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myotis",0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0
"Myripristis",0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mythimna",0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mytilus",0,447,439,553,148,422,308,404,412,434,2140,943,468,2438,5046,1962,144,197,220,297,3619,1114,601,307,2353,3784,346,6914,1606,312,152,680,843,642,440,458,302,153,158,892,1225,4948,2766,1083,461
"Myxocyprinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nemoura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nemurella",0,0,0,0,0,0,0,0,0,0,0,125,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neomonachus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neoneuromus",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netelia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nibea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
